003     15     1,0
005    275    17,8
008    296    19,2
009    586    38,0
010     19     1,2
023     25     1,6
024    587    38,1
025     16     1,0
029     42     2,7
030     17     1,1
034     13     0,8
040     47     3,0
047     46     3,0
048     34     2,2
050    294    19,1
053     17     1,1
058    564    36,6
059     53     3,4
061     51     3,3
065     47     3,0
075    291    18,9
076     17     1,1
080     22     1,4
100     36     2,3
101    267    17,3
102    276    17,9
104    297    19,3
105    518    33,6
107    305    19,8
108     59     3,8
109     13     0,8
110     14     0,9
112     16     1,0
113     52     3,4
114     49     3,2
115     14     0,9
116     42     2,7
118     56     3,6
119     22     1,4
120     17     1,1
121     24     1,6
122    287    18,6
123    605    39,2
129    292    18,9
130    558    36,2
132     10     0,6
133     39     2,5
134    292    18,9
135    303    19,6
137    615    39,9
138     49     3,2
139     74     4,8
140     67     4,3
141     48     3,1
142     66     4,3
143     73     4,7
144     79     5,1
145    290    18,8
146     21     1,4
148    281    18,2
152    308    20,0
153     24     1,6
154    296    19,2
155     82     5,3
156    314    20,4
157    318    20,6
158    303    19,6
159    301    19,5
160    296    19,2
161    315    20,4
162     48     3,1
164     19     1,2
165     16     1,0
167    576    37,4
169     43     2,8
171     16     1,0
172     39     2,5
173     81     5,3
174    259    16,8
175     64     4,2
176    288    18,7
177     79     5,1
178     68     4,4
179    297    19,3
180     63     4,1
181     53     3,4
182    250    16,2
183    285    18,5
184    305    19,8
185    310    20,1
187    283    18,4
188     66     4,3
189     81     5,3
190     61     4,0
191    288    18,7
192    592    38,4
195    253    16,4
196     15     1,0
197    537    34,8
198    288    18,7
199     76     4,9
200    271    17,6
201     21     1,4
202    607    39,4
203    272    17,6
205     59     3,8
206     67     4,3
207    315    20,4
208    274    17,8
209    290    18,8
210    277    18,0
211    281    18,2
212    315    20,4
214    295    19,1
215     75     4,9
218     62     4,0
219     50     3,2
220     18     1,2
221     13     0,8
222    280    18,2
224     82     5,3
225     20     1,3
226     81     5,3
227    284    18,4
228     68     4,4
229    285    18,5
231     53     3,4
232    282    18,3
233     18     1,2
234     15     1,0
236     11     0,7
237    548    35,5
238    276    17,9
239     71     4,6
240    277    18,0
241     21     1,4
242    313    20,3
243     77     5,0
244     66     4,3
245    279    18,1
246     17     1,1
247     67     4,3
248     23     1,5
250     54     3,5
251     10     0,6
253     73     4,7
254    299    19,4
256     14     0,9
257     62     4,0
258     21     1,4
259     11     0,7
260     61     4,0
261    271    17,6
262     22     1,4
263     12     0,8
264     84     5,4
265    281    18,2
266     85     5,5
267    273    17,7
268    282    18,3
269     45     2,9
270     77     5,0
271    289    18,7
272     13     0,8
273     18     1,2
274     30     1,9
276     51     3,3
277     66     4,3
279     64     4,2
280     21     1,4
282     64     4,2
283     69     4,5
285    299    19,4
289    552    35,8
290     20     1,3
291     27     1,8
292    283    18,4
293     19     1,2
294     14     0,9
295     69     4,5
296     58     3,8
298     82     5,3
300     72     4,7
301     51     3,3
302     57     3,7
303     63     4,1
304     56     3,6
305     51     3,3
306     53     3,4
307     56     3,6
308     42     2,7
309     41     2,7
310     59     3,8
311     55     3,6
312     69     4,5
313     59     3,8
314     61     4,0
315     62     4,0
316     47     3,0
317     45     2,9
319     60     3,9
321     52     3,4
322     50     3,2
323     55     3,6
324     51     3,3
326     47     3,0
327     56     3,6
328     62     4,0
330    273    17,7
331    260    16,9
332    243    15,8
333    267    17,3
334    262    17,0
335    237    15,4
336    764    49,5
337    778    50,5
381     11     0,7
387    582    37,7
393    587    38,1
394    583    37,8
395    609    39,5
397    537    34,8
398    566    36,7
399    567    36,8
402    559    36,3
406     20     1,3
410    593    38,5
411    613    39,8
414     23     1,5
417     77     5,0
420    273    17,7
421    270    17,5
422    584    37,9
430     23     1,5
431     75     4,9
432     71     4,6
435     18     1,2
436    594    38,5
444    597    38,7
445     19     1,2
446     70     4,5
450     20     1,3
451    298    19,3
452    295    19,1
455     22     1,4
457     12     0,8
461     62     4,0
463     63     4,1
469    584    37,9
474     21     1,4
475    554    35,9
476    282    18,3
477     61     4,0
478     68     4,4
480     22     1,4
481     73     4,7
484    586    38,0
485    591    38,3
486    309    20,0
488    566    36,7
489     75     4,9
490    279    18,1
492    294    19,1
496     13     0,8
501    531    34,4
502     18     1,2
503     64     4,2
504    576    37,4
505     78     5,1
506    303    19,6
510    281    18,2
514     18     1,2
516    573    37,2
524    628    40,7
527    561    36,4
530     73     4,7
534     79     5,1
536    275    17,8
537    256    16,6
538     68     4,4
539     68     4,4
540    293    19,0
543     19     1,2
544    292    18,9
546     25     1,6
547    577    37,4
548    604    39,2
549    280    18,2
550     17     1,1
552      7     0,5
553     60     3,9
556    292    18,9
558    684    44,4
559     76     4,9
560     16     1,0
561     19     1,2
563    646    41,9
566     15     1,0
567     17     1,1
568     57     3,7
569     53     3,4
570     32     2,1
573     77     5,0
574     20     1,3
576     13     0,8
579    298    19,3
580     57     3,7
581     16     1,0
583     16     1,0
584     23     1,5
585     74     4,8
586    266    17,3
588     46     3,0
589    279    18,1
590     65     4,2
591    308    20,0
592     80     5,2
598    294    19,1
599     18     1,2
600     20     1,3
601     18     1,2
602    298    19,3
604    401    26,0
605     70     4,5
606    413    26,8
608     13     0,8
609    384    24,9
610     80     5,2
611    413    26,8
612     74     4,8
615     15     1,0
616     11     0,7
620     24     1,6
629     47     3,0
634     29     1,9
635    717    46,5
642     50     3,2
643     15     1,0
644    678    44,0
646     50     3,2
647     17     1,1
649     16     1,0
652     56     3,6
654     59     3,8
659     67     4,3
